Record Date,Parent ID,Classification ID,Classification Description,Current Month Net Transaction Amount,Fiscal Year to Date Net Transaction Amount,Prior Fiscal Year to Date Net Transaction Amount,Beginning Year Account Balance Amount,Beginning Month Account Balance Amount,Closing Month Account Balance Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-07-31,52227888,52227922,Deduct:,null,null,null,null,null,null,6,12,12,9200,S,GL,3,1.1.4,2023,4,2023,3,07,31
2023-07-31,52227922,52227924,Federal Securities Held as Investments of Government Accounts (See Schedule D),29679488314.31,271172988643.40,497966957254.06,6608705604400.84,6850199104729.93,6879878593044.24,6,13,13,9202,D,GL,4,1.1.4.1,2023,4,2023,3,07,31
2023-07-31,52227922,52227927,Less Discount on Federal Securities Held as Investments of Government Accounts,1212411028.68,41393042977.03,801790346.91,27987725468.67,68168357417.02,69380768445.70,6,14,14,9230,D,GL,4,1.1.4.2,2023,4,2023,3,07,31
2023-07-31,52227922,52227929,Net Federal Securities Held as Investments of Government Accounts,28467077285.63,229779945666.37,497165166907.15,6580717878932.17,6782030747312.91,6810497824598.54,6,15,15,9240,T,GL,4,1.1.4.3,2023,4,2023,3,07,31
2023-07-31,52227888,52227931,Total Borrowing from the Public,244162805037.80,1370466250041.85,1639223654355.54,24256834538146.09,25383137983150.14,25627300788187.98,6,16,16,9310,T,GL,3,1.1.5,2023,4,2023,3,07,31
2023-07-31,52227886,52227933,Accrued Interest Payable to the Public,12556967833.11,30270241663.82,32815959647.07,81249170733.41,98962444564.12,111519412397.23,6,17,17,9320,D,GL,2,1.2,2023,4,2023,3,07,31
2023-07-31,52227886,52227935,Allocations of Special Drawing Rights,1478272509.86,7243190712.64,-9794273264.63,147009434337.18,152774352539.96,154252625049.82,6,18,18,9347,D,GL,2,1.3,2023,4,2023,3,07,31
2023-07-31,52227886,52227936,Deposit Funds,-1684036115.31,-953149151.52,-214570719587.94,27437849581.88,28168736545.67,26484700430.36,6,19,19,9350,D,GL,2,1.4,2023,4,2023,3,07,31
2023-07-31,52227886,52227938,Miscellaneous Liability Accounts (Includes Checks Outstanding Etc.),-5779186988.53,3606162809.31,-10769524.55,31175719036.14,40561068833.98,34781881845.45,6,20,20,9360,D,GL,2,1.5,2023,4,2023,3,07,31
2023-07-31,52227886,52227940,Total Liability Accounts,250734822276.93,1410632696076.10,1447663851625.49,24543706711834.70,25703604585633.87,25954339407910.84,6,21,21,9361,T,GL,2,1.6,2023,4,2023,3,07,31
2023-07-31,null,52227942,Asset Accounts (Deduct),null,null,null,null,null,null,6,22,22,9362,S,GL,1,2,2023,4,2023,3,07,31
2023-07-31,52227942,52227944,Cash and Monetary Assets:,null,null,null,null,null,null,6,23,23,9363,S,GL,2,2.1,2023,4,2023,3,07,31
2023-07-31,52227944,52227947,U.S. Treasury Operating Cash:,null,null,null,null,null,null,6,24,24,9364,S,GL,3,2.1.1,2023,4,2023,3,07,31
2023-07-31,52227947,52227949,Federal Reserve Account,99434106475.05,-134165068757.98,404113090345.39,635993537982.13,402394362749.10,501828469224.15,6,25,25,9500,D,GL,4,2.1.1.1,2023,4,2023,3,07,31
2023-07-31,52227947,52227955,Balance,99434106475.05,-134165068757.98,404113090345.39,635993537982.13,402394362749.10,501828469224.15,6,26,26,9503,T,GL,4,2.1.1.2,2023,4,2023,3,07,31
2023-07-31,52227944,52227957,Special Drawing Rights:,null,null,null,null,null,null,6,27,27,9504,S,GL,3,2.1.2,2023,4,2023,3,07,31
2023-07-31,52227957,52227959,Total Holdings,1569529116.02,10599775092.05,-5726850796.58,153175161276.48,162205407252.51,163774936368.53,6,28,28,9505,D,GL,4,2.1.2.1,2023,4,2023,3,07,31
2023-07-31,52227957,52227961,SDR Certificates Issued to Federal Reserve Banks,0.00,0.00,0.00,-5200000000.00,-5200000000.00,-5200000000.00,6,29,29,9506,D,GL,4,2.1.2.2,2023,4,2023,3,07,31
2023-07-31,52227957,52227963,Balance,1569529116.02,10599775092.05,-5726850796.58,147975161276.48,157005407252.51,158574936368.53,6,30,30,9507,T,GL,4,2.1.2.3,2023,4,2023,3,07,31
2023-07-31,52227944,52227965,Reserve Position on the U.S. Quota in the IMF:,null,null,null,null,null,null,6,31,31,9508,S,GL,3,2.1.3,2023,4,2023,3,07,31
2023-07-31,52227965,52227967,U.S. Subscription to International Monetary Fund:,null,null,null,null,null,null,6,32,32,9509,S,GL,4,2.1.3.1,2023,4,2023,3,07,31
2023-07-31,52227967,52227969,Direct Quota Payments,0.00,0.00,0.00,111629078113.37,111629078113.37,111629078113.37,6,33,33,9510,D,GL,5,2.1.3.1.1,2023,4,2023,3,07,31
2023-07-31,52227967,52227970,Maintenance of Value Adjustments,1067509305.90,5233266891.49,-7077137465.39,-5406427558.44,-1240669972.85,-173160666.95,6,34,34,9511,D,GL,5,2.1.3.1.2,2023,4,2023,3,07,31
2023-07-31,52227965,52227973,Letter of Credit Issued to IMF,-1370000000.00,-279000000.00,6899014007.21,-78191051728.34,-77100051728.34,-78470051728.34,6,35,35,9512,D,GL,4,2.1.3.2,2023,4,2023,3,07,31
2023-07-31,52227965,52227974,Dollar Deposits with the IMF,-6260057.16,-24872186.22,16747896.07,-318925145.30,-337537274.36,-343797331.52,6,36,36,9513,D,GL,4,2.1.3.3,2023,4,2023,3,07,31
2023-07-31,52227965,52227976,Receivable/Payable (-) for Interim Maintenance of Value Adjustments,-739091141.37,-3611200315.60,-5795152940.52,3621072655.35,748963481.12,9872339.75,6,37,37,9515,D,GL,4,2.1.3.4,2023,4,2023,3,07,31
2023-07-31,52227965,52227978,Balance,-1047841892.63,1318194389.67,-5956528502.63,31333746336.64,33699782618.94,32651940726.31,6,38,38,9516,T,GL,4,2.1.3.5,2023,4,2023,3,07,31
2023-07-31,52227944,52227980,Loans to International Monetary Fund,0.00,0.00,-12147070.66,921193399.26,921193399.26,921193399.26,6,39,39,9517,D,GL,3,2.1.4,2023,4,2023,3,07,31
2023-07-31,52227944,52227982,Other Cash and Monetary Assets,-432185902.25,1531886098.22,691526561.97,25815699427.19,27779771427.66,27347585525.41,6,40,40,9518,D,GL,3,2.1.5,2023,4,2023,3,07,31
2023-07-31,52227944,52227984,Total Cash and Monetary Assets,99523607796.19,-120715213178.04,393109090537.49,842039338421.70,621800517447.47,721324125243.66,6,41,41,9519,T,GL,3,2.1.6,2023,4,2023,3,07,31
2023-07-31,52227942,52227988,Non-Federal Securities of the National Railroad Retirement Investment Trust,833016524.63,627555989.37,-3673172038.64,23923078963.06,23717618427.80,24550634952.43,6,42,42,9542,D,GL,2,2.2,2023,4,2023,3,07,31
2023-07-31,52227942,52227990,Net Activity, Guaranteed Loan Financing (See Schedule E),1811970912.76,28603895055.53,197985764064.79,45427028369.49,72218952512.26,74030923425.02,6,43,43,9550,D,GL,2,2.3,2023,4,2023,3,07,31
2023-07-31,52227942,52227991,Net Activity, Direct Loan Financing (See Schedule E),-72098485702.84,-110309931022.89,126261025838.35,1338931250421.97,1300719805101.92,1228621319399.08,6,44,44,9555,D,GL,2,2.4,2023,4,2023,3,07,31
2023-07-31,52227942,52227993,Miscellaneous Asset Accounts,-117384607.41,-1950629281.19,8018174922.06,3167284497.60,1334039823.82,1216655216.41,6,45,45,9561,D,GL,2,2.5,2023,4,2023,3,07,31
2023-07-31,52227942,52227995,Total Asset Accounts,29952724923.33,-203744322437.22,721700883324.05,2253487980673.82,2019790933313.27,2049743658236.60,6,46,46,9562,T,GL,2,2.6,2023,4,2023,3,07,31
2023-07-31,null,52227997,Excess of Liabilities (+) or Assets (-),220782097353.60,1614377018513.32,725962968301.44,22290218731160.90,23683813652320.60,23904595749674.20,6,47,47,9563,T,GL,1,3,2023,4,2023,3,07,31
2023-07-31,null,52227999,Transactions Not Applied to Current Year's Surplus or Deficit (See Schedule A for Details),0.00,-955346187.90,155870819.34,0.00,-955346187.90,-955346187.90,6,48,48,9624,D,GL,1,4,2023,4,2023,3,07,31
2023-07-31,null,52228001,Total Budget and Off-Budget Federal Entities (Financing of Deficit (+) or Disposition of Surplus (-)),220782097353.60,1613421672325.42,726118839120.78,22290218731160.90,23682858306132.70,23903640403486.30,6,49,49,9661,T,GL,1,5,2023,4,2023,3,07,31
2023-06-30,null,52061691,Liability Accounts:,null,null,null,null,null,null,6,1,1,9029,S,GL,1,1,2023,3,2023,2,06,30
2023-06-30,52061691,52061693,Borrowing from the Public:,null,null,null,null,null,null,6,2,2,9030,S,GL,2,1.1,2023,3,2023,2,06,30
2023-06-30,52061693,52061695,Treasury Securities, Issued Under General Financing Authorities:,null,null,null,null,null,null,6,3,3,9032,S,GL,3,1.1.1,2023,3,2023,2,06,30
2023-06-30,52061695,52061697,Debt Held by the Public,831311940200.63,1162805543522.60,1629259366579.60,24299191755780.80,24630685359102.80,25461997299303.40,6,4,4,9034,D,GL,4,1.1.1.1,2023,3,2023,2,06,30
2023-06-30,52061695,52061699,Intragovernmental Holdings,36504814597.72,240557003558.93,510404092430.67,6629718993148.22,6833771182109.43,6870275996707.15,6,5,5,9035,D,GL,4,1.1.1.2,2023,3,2023,2,06,30
2023-06-30,52061695,52061701,Total Treasury Securities Outstanding,867816754798.35,1403362547081.53,2139663459010.27,30928912000000.00,31464456541212.23,32332274000000.00,6,6,6,9036,T,GL,4,1.1.1.3,2023,3,2023,2,06,30
2023-06-30,52061701,52061703,Plus Premium on Treasury Securities,-575025759.60,1294320745.70,3112747234.65,66191231670.88,68060578176.18,67485552416.58,6,7,7,9040,D,GL,5,1.1.1.3.1,2023,3,2023,2,06,30
2023-06-30,52061701,52061705,Less Discount on Treasury Securities,7782294352.67,77554714496.44,28896310311.52,176902241870.90,246674662014.67,254456956367.34,6,8,8,9045,D,GL,5,1.1.1.3.2,2023,3,2023,2,06,30
2023-06-30,52061701,52061706,Total Treasury Securities Net of Premium and Discount,859459434686.08,1327102153330.79,2113879895933.40,30818199738729.00,31285842457373.74,32145301892059.79,6,9,9,9055,T,GL,5,1.1.1.3.3,2023,3,2023,2,06,30
2023-06-30,52061693,52061708,Agency Securities, Issued Under Special Financing Authorities (See Schedule B; for Other Agency Borrowing, See Schedule C),129820329.00,514160054.00,219705828.00,19352678349.26,19737018074.26,19866838403.26,6,10,10,9102,D,GL,3,1.1.2,2023,3,2023,2,06,30
2023-06-30,52061693,52061710,Total Federal Securities,859589255015.08,1327616313384.79,2114099601761.40,30837552417078.26,31305579475448.00,32165168730463.05,6,11,11,9103,T,GL,3,1.1.3,2023,3,2023,2,06,30
2023-06-30,52061693,52061712,Deduct:,null,null,null,null,null,null,6,12,12,9200,S,GL,3,1.1.4,2023,3,2023,2,06,30
2023-06-30,52061712,52061714,Federal Securities Held as Investments of Government Accounts (See Schedule D),36410580565.27,241493500329.09,512061467033.57,6608705604400.84,6813788524164.66,6850199104729.93,6,13,13,9202,D,GL,4,1.1.4.1,2023,3,2023,2,06,30
2023-06-30,52061712,52061716,Less Discount on Federal Securities Held as Investments of Government Accounts,145861760.66,40180631948.35,478731921.82,27987725468.67,68022495656.36,68168357417.02,6,14,14,9230,D,GL,4,1.1.4.2,2023,3,2023,2,06,30
2023-06-30,52061712,52061718,Net Federal Securities Held as Investments of Government Accounts,36264718804.61,201312868380.74,511582735111.75,6580717878932.17,6745766028508.30,6782030747312.91,6,15,15,9240,T,GL,4,1.1.4.3,2023,3,2023,2,06,30
2023-06-30,52061693,52061720,Total Borrowing from the Public,823324536210.47,1126303445004.05,1602516866649.65,24256834538146.09,24559813446939.70,25383137983150.14,6,16,16,9310,T,GL,3,1.1.5,2023,3,2023,2,06,30
2023-06-30,52061691,52061722,Accrued Interest Payable to the Public,21742279723.44,17713273830.71,7253669222.49,81249170733.41,77220164840.68,98962444564.12,6,17,17,9320,D,GL,2,1.2,2023,3,2023,2,06,30
2023-06-30,52061691,52061724,Allocations of Special Drawing Rights,299789529.97,5764918202.78,-9314150569.12,147009434337.18,152474563009.99,152774352539.96,6,18,18,9347,D,GL,2,1.3,2023,3,2023,2,06,30
2023-06-30,52061691,52061726,Deposit Funds,-274604460041.63,730886963.79,-215122704114.05,27437849581.88,302773196587.30,28168736545.67,6,19,19,9350,D,GL,2,1.4,2023,3,2023,2,06,30
2023-06-30,52061691,52061728,Miscellaneous Liability Accounts (Includes Checks Outstanding Etc.),2310885975.90,9385349797.84,212304279.24,31175719036.14,38250182858.08,40561068833.98,6,20,20,9360,D,GL,2,1.5,2023,3,2023,2,06,30
2023-06-30,52061691,52061731,Total Liability Accounts,573073031398.15,1159897873799.17,1385545985468.21,24543706711834.70,25130531554235.75,25703604585633.87,6,21,21,9361,T,GL,2,1.6,2023,3,2023,2,06,30
2023-06-30,null,52061733,Asset Accounts (Deduct),null,null,null,null,null,null,6,22,22,9362,S,GL,1,2,2023,3,2023,2,06,30
2023-06-30,52061733,52061735,Cash and Monetary Assets:,null,null,null,null,null,null,6,23,23,9363,S,GL,2,2.1,2023,3,2023,2,06,30
2023-06-30,52061735,52061737,U.S. Treasury Operating Cash:,null,null,null,null,null,null,6,24,24,9364,S,GL,3,2.1.1,2023,3,2023,2,06,30
2023-06-30,52061737,52061739,Federal Reserve Account,353882590887.93,-233599175233.03,567245776510.34,635993537982.13,48511771861.17,402394362749.10,6,25,25,9500,D,GL,4,2.1.1.1,2023,3,2023,2,06,30
2023-06-30,52061737,52061745,Balance,353882590887.93,-233599175233.03,567245776510.34,635993537982.13,48511771861.17,402394362749.10,6,26,26,9503,T,GL,4,2.1.1.2,2023,3,2023,2,06,30
2023-06-30,52061735,52061747,Special Drawing Rights:,null,null,null,null,null,null,6,27,27,9504,S,GL,3,2.1.2,2023,3,2023,2,06,30
2023-06-30,52061747,52061749,Total Holdings,776269814.44,9030245976.03,-5678858242.26,153175161276.48,161429137438.07,162205407252.51,6,28,28,9505,D,GL,4,2.1.2.1,2023,3,2023,2,06,30
2023-06-30,52061747,52061751,SDR Certificates Issued to Federal Reserve Banks,0.00,0.00,0.00,-5200000000.00,-5200000000.00,-5200000000.00,6,29,29,9506,D,GL,4,2.1.2.2,2023,3,2023,2,06,30
2023-06-30,52061747,52061753,Balance,776269814.44,9030245976.03,-5678858242.26,147975161276.48,156229137438.07,157005407252.51,6,30,30,9507,T,GL,4,2.1.2.3,2023,3,2023,2,06,30
2023-06-30,52061735,52061754,Reserve Position on the U.S. Quota in the IMF:,null,null,null,null,null,null,6,31,31,9508,S,GL,3,2.1.3,2023,3,2023,2,06,30
2023-06-30,52061754,52061757,U.S. Subscription to International Monetary Fund:,null,null,null,null,null,null,6,32,32,9509,S,GL,4,2.1.3.1,2023,3,2023,2,06,30
2023-06-30,52061757,52061759,Direct Quota Payments,0.00,0.00,0.00,111629078113.37,111629078113.37,111629078113.37,6,33,33,9510,D,GL,5,2.1.3.1.1,2023,3,2023,2,06,30
2023-06-30,52061757,52061760,Maintenance of Value Adjustments,216581178.73,4165757585.59,-6729995093.45,-5406427558.44,-1457251151.58,-1240669972.85,6,34,34,9511,D,GL,5,2.1.3.1.2,2023,3,2023,2,06,30
2023-06-30,52061754,52061762,Letter of Credit Issued to IMF,-33000000.00,1091000000.00,6960014007.21,-78191051728.34,-77067051728.34,-77100051728.34,6,35,35,9512,D,GL,4,2.1.3.2,2023,3,2023,2,06,30
2023-06-30,52061754,52061764,Dollar Deposits with the IMF,8780610.76,-18612129.06,15325128.42,-318925145.30,-346317885.12,-337537274.36,6,36,36,9513,D,GL,4,2.1.3.3,2023,3,2023,2,06,30
2023-06-30,52061754,52061766,Receivable/Payable (-) for Interim Maintenance of Value Adjustments,-150233012.30,-2872109174.23,-6039037639.00,3621072655.35,899196493.42,748963481.12,6,37,37,9515,D,GL,4,2.1.3.4,2023,3,2023,2,06,30
2023-06-30,52061754,52061768,Balance,42128777.19,2366036282.30,-5793693596.82,31333746336.64,33657653841.75,33699782618.94,6,38,38,9516,T,GL,4,2.1.3.5,2023,3,2023,2,06,30
2023-06-30,52061735,52061770,Loans to International Monetary Fund,0.00,0.00,-12147070.66,921193399.26,921193399.26,921193399.26,6,39,39,9517,D,GL,3,2.1.4,2023,3,2023,2,06,30
2023-06-30,52061735,52061772,Other Cash and Monetary Assets,772980611.56,1964072000.47,345427845.74,25815699427.19,27006790816.10,27779771427.66,6,40,40,9518,D,GL,3,2.1.5,2023,3,2023,2,06,30
2023-06-30,52061735,52061774,Total Cash and Monetary Assets,355473970091.12,-220238820974.23,556106505446.34,842039338421.70,266326547356.35,621800517447.47,6,41,41,9519,T,GL,3,2.1.6,2023,3,2023,2,06,30
2023-06-30,52061733,52061776,Non-Federal Securities of the National Railroad Retirement Investment Trust,-561147976.24,-205460535.26,-2231921720.61,23923078963.06,24278766404.04,23717618427.80,6,42,42,9542,D,GL,2,2.2,2023,3,2023,2,06,30
2023-06-30,52061733,52061778,Net Activity, Guaranteed Loan Financing (See Schedule E),311077446.42,26791924142.77,191760468285.85,45427028369.49,71907875065.84,72218952512.26,6,43,43,9550,D,GL,2,2.3,2023,3,2023,2,06,30
2023-06-30,52061733,52061780,Net Activity, Direct Loan Financing (See Schedule E),-9613939728.79,-38211445320.05,117500960803.07,1338931250421.97,1310333744830.71,1300719805101.92,6,44,44,9555,D,GL,2,2.4,2023,3,2023,2,06,30
2023-06-30,52061733,52061782,Miscellaneous Asset Accounts,-305340972.41,-1833244673.78,7498764399.03,3167284497.60,1639380796.23,1334039823.82,6,45,45,9561,D,GL,2,2.5,2023,3,2023,2,06,30
2023-06-30,52061733,52061784,Total Asset Accounts,345304618860.10,-233697047360.55,870634777213.68,2253487980673.82,1674486314453.17,2019790933313.27,6,46,46,9562,T,GL,2,2.6,2023,3,2023,2,06,30
2023-06-30,null,52061786,Excess of Liabilities (+) or Assets (-),227768412538.05,1393594921159.72,514911208254.53,22290218731160.90,23456045239782.60,23683813652320.60,6,47,47,9563,T,GL,1,3,2023,3,2023,2,06,30
2023-06-30,null,52061788,Transactions Not Applied to Current Year's Surplus or Deficit (See Schedule A for Details),0.00,-955346187.90,155870819.34,0.00,-955346187.90,-955346187.90,6,48,48,9624,D,GL,1,4,2023,3,2023,2,06,30
2023-06-30,null,52061790,Total Budget and Off-Budget Federal Entities (Financing of Deficit (+) or Disposition of Surplus (-)),227768412538.05,1392639574971.82,515067079073.87,22290218731160.90,23455089893594.70,23682858306132.70,6,49,49,9661,T,GL,1,5,2023,3,2023,2,06,30
2023-05-31,null,51817246,Liability Accounts:,null,null,null,null,null,null,6,1,1,9029,S,GL,1,1,2023,3,2023,2,05,31
2023-05-31,51817246,51817250,Borrowing from the Public:,null,null,null,null,null,null,6,2,2,9030,S,GL,2,1.1,2023,3,2023,2,05,31
2023-05-31,51817250,51817254,Treasury Securities, Issued Under General Financing Authorities:,null,null,null,null,null,null,6,3,3,9032,S,GL,3,1.1.1,2023,3,2023,2,05,31
2023-05-31,51817254,51817274,Debt Held by the Public,25618236913.54,331493603321.97,1621491083293.08,24299191755780.80,24605067122189.20,24630685359102.80,6,4,4,9034,D,GL,4,1.1.1.1,2023,3,2023,2,05,31
2023-05-31,51817254,51817279,Intragovernmental Holdings,-18975443739.50,204052188961.21,449208867905.03,6629718993148.22,6852746625848.93,6833771182109.43,6,5,5,9035,D,GL,4,1.1.1.2,2023,3,2023,2,05,31
2023-05-31,51817254,51817295,Total Treasury Securities Outstanding,6642793174.04,535545792283.18,2070699951198.11,30928912000000.00,31457815000000.00,31464456541212.23,6,6,6,9036,T,GL,4,1.1.1.3,2023,3,2023,2,05,31
2023-05-31,51817295,51817299,Plus Premium on Treasury Securities,-608097173.22,1869346505.30,3725958040.45,66191231670.88,68668675349.40,68060578176.18,6,7,7,9040,D,GL,5,1.1.1.3.1,2023,3,2023,2,05,31
2023-05-31,51817295,51817303,Less Discount on Treasury Securities,4315804767.13,69772420143.77,24071671022.35,176902241870.90,242358857247.54,246674662014.67,6,8,8,9045,D,GL,5,1.1.1.3.2,2023,3,2023,2,05,31
2023-05-31,51817295,51817310,Total Treasury Securities Net of Premium and Discount,1718891233.69,467642718644.71,2050354238216.21,30818199738729.00,31284123566139.99,31285842457373.74,6,9,9,9055,T,GL,5,1.1.1.3.3,2023,3,2023,2,05,31
2023-05-31,51817250,51817315,Agency Securities, Issued Under Special Financing Authorities (See Schedule B; for Other Agency Borrowing, See Schedule C),130172039.00,384339725.00,56061486.00,19352678349.26,19606846035.26,19737018074.26,6,10,10,9102,D,GL,3,1.1.2,2023,3,2023,2,05,31
2023-05-31,51817250,51817320,Total Federal Securities,1849063272.69,468027058369.71,2050410299702.21,30837552417078.26,31303730412175.25,31305579475448.00,6,11,11,9103,T,GL,3,1.1.3,2023,3,2023,2,05,31
2023-05-31,51817250,51817323,Deduct:,null,null,null,null,null,null,6,12,12,9200,S,GL,3,1.1.4,2023,3,2023,2,05,31
2023-05-31,51817323,51817326,Federal Securities Held as Investments of Government Accounts (See Schedule D),-17918467550.04,205082919763.82,451497299895.08,6608705604400.84,6831706991714.70,6813788524164.66,6,13,13,9202,D,GL,4,1.1.4.1,2023,3,2023,2,05,31
2023-05-31,51817323,51817330,Less Discount on Federal Securities Held as Investments of Government Accounts,-682899211.12,40034770187.69,340858768.57,27987725468.67,68705394867.48,68022495656.36,6,14,14,9230,D,GL,4,1.1.4.2,2023,3,2023,2,05,31
2023-05-31,51817323,51817335,Net Federal Securities Held as Investments of Government Accounts,-17235568338.92,165048149576.13,451156441126.51,6580717878932.17,6763001596847.22,6745766028508.30,6,15,15,9240,T,GL,4,1.1.4.3,2023,3,2023,2,05,31
2023-05-31,51817250,51817343,Total Borrowing from the Public,19084631611.61,302978908793.58,1599253858575.70,24256834538146.09,24540728815328.03,24559813446939.70,6,16,16,9310,T,GL,3,1.1.5,2023,3,2023,2,05,31
2023-05-31,51817246,51817346,Accrued Interest Payable to the Public,-46509815821.27,-4029005892.73,-9934095319.65,81249170733.41,123729980661.95,77220164840.68,6,17,17,9320,D,GL,2,1.2,2023,3,2023,2,05,31
2023-05-31,51817246,51817348,Allocations of Special Drawing Rights,-2245549927.57,5465128672.81,-6796377964.91,147009434337.18,154720112937.56,152474563009.99,6,18,18,9347,D,GL,2,1.3,2023,3,2023,2,05,31
2023-05-31,51817246,51817351,Deposit Funds,6903287198.43,275335347005.42,-214782236499.11,27437849581.88,295869909388.87,302773196587.30,6,19,19,9350,D,GL,2,1.4,2023,3,2023,2,05,31
2023-05-31,51817246,51817353,Miscellaneous Liability Accounts (Includes Checks Outstanding Etc.),3553566464.90,7074463821.94,3312632557.07,31175719036.14,34696616393.18,38250182858.08,6,20,20,9360,D,GL,2,1.5,2023,3,2023,2,05,31
2023-05-31,51817246,51817355,Total Liability Accounts,-19213880473.90,586824842401.02,1371053781349.10,24543706711834.70,25149745434709.59,25130531554235.75,6,21,21,9361,T,GL,2,1.6,2023,3,2023,2,05,31
2023-05-31,null,51817357,Asset Accounts (Deduct),null,null,null,null,null,null,6,22,22,9362,S,GL,1,2,2023,3,2023,2,05,31
2023-05-31,51817357,51817359,Cash and Monetary Assets:,null,null,null,null,null,null,6,23,23,9363,S,GL,2,2.1,2023,3,2023,2,05,31
2023-05-31,51817359,51817361,U.S. Treasury Operating Cash:,null,null,null,null,null,null,6,24,24,9364,S,GL,3,2.1.1,2023,3,2023,2,05,31
2023-05-31,51817361,51817363,Federal Reserve Account,-267868853264.43,-587481766120.96,639080381896.82,635993537982.13,316380625125.60,48511771861.17,6,25,25,9500,D,GL,4,2.1.1.1,2023,3,2023,2,05,31
2023-05-31,51817361,51817370,Balance,-267868853264.43,-587481766120.96,639080381896.82,635993537982.13,316380625125.60,48511771861.17,6,26,26,9503,T,GL,4,2.1.1.2,2023,3,2023,2,05,31
2023-05-31,51817359,51817372,Special Drawing Rights:,null,null,null,null,null,null,6,27,27,9504,S,GL,3,2.1.2,2023,3,2023,2,05,31
2023-05-31,51817372,51817374,Total Holdings,-2025864240.82,8253976161.59,-4147009899.95,153175161276.48,163455001678.89,161429137438.07,6,28,28,9505,D,GL,4,2.1.2.1,2023,3,2023,2,05,31
2023-05-31,51817372,51817375,SDR Certificates Issued to Federal Reserve Banks,0.00,0.00,0.00,-5200000000.00,-5200000000.00,-5200000000.00,6,29,29,9506,D,GL,4,2.1.2.2,2023,3,2023,2,05,31
2023-05-31,51817372,51817377,Balance,-2025864240.82,8253976161.59,-4147009899.95,147975161276.48,158255001678.89,156229137438.07,6,30,30,9507,T,GL,4,2.1.2.3,2023,3,2023,2,05,31
2023-05-31,51817359,51817379,Reserve Position on the U.S. Quota in the IMF:,null,null,null,null,null,null,6,31,31,9508,S,GL,3,2.1.3,2023,3,2023,2,05,31
2023-05-31,51817379,51817381,U.S. Subscription to International Monetary Fund:,null,null,null,null,null,null,6,32,32,9509,S,GL,4,2.1.3.1,2023,3,2023,2,05,31
2023-05-31,51817381,51817383,Direct Quota Payments,0.00,0.00,0.00,111629078113.37,111629078113.37,111629078113.37,6,33,33,9510,D,GL,5,2.1.3.1.1,2023,3,2023,2,05,31
2023-05-31,51817381,51817385,Maintenance of Value Adjustments,-1622037684.84,3949176406.86,-4910823038.00,-5406427558.44,164786533.26,-1457251151.58,6,34,34,9511,D,GL,5,2.1.3.1.2,2023,3,2023,2,05,31
2023-05-31,51817379,51817387,Letter of Credit Issued to IMF,40000000.00,1124000000.00,1919000000.00,-78191051728.34,-77107051728.34,-77067051728.34,6,35,35,9512,D,GL,4,2.1.3.2,2023,3,2023,2,05,31
2023-05-31,51817379,51817389,Dollar Deposits with the IMF,-45282974.40,-27392739.82,396567.88,-318925145.30,-301034910.72,-346317885.12,6,36,36,9513,D,GL,4,2.1.3.3,2023,3,2023,2,05,31
2023-05-31,51817379,51817391,Receivable/Payable (-) for Interim Maintenance of Value Adjustments,1125325709.00,-2721876161.93,3447036919.26,3621072655.35,-226129215.58,899196493.42,6,37,37,9515,D,GL,4,2.1.3.4,2023,3,2023,2,05,31
2023-05-31,51817379,51817393,Balance,-501994950.24,2323907505.11,455610449.14,31333746336.64,34159648791.99,33657653841.75,6,38,38,9516,T,GL,4,2.1.3.5,2023,3,2023,2,05,31
2023-05-31,51817359,51817395,Loans to International Monetary Fund,0.00,0.00,-12147070.66,921193399.26,921193399.26,921193399.26,6,39,39,9517,D,GL,3,2.1.4,2023,3,2023,2,05,31
2023-05-31,51817359,51817397,Other Cash and Monetary Assets,97566385.19,1191091388.91,223556591.37,25815699427.19,26909224430.91,27006790816.10,6,40,40,9518,D,GL,3,2.1.5,2023,3,2023,2,05,31
2023-05-31,51817359,51817399,Total Cash and Monetary Assets,-270299146070.30,-575712791065.35,635600391966.72,842039338421.70,536625693426.65,266326547356.35,6,41,41,9519,T,GL,3,2.1.6,2023,3,2023,2,05,31
2023-05-31,51817357,51817401,Non-Federal Securities of the National Railroad Retirement Investment Trust,143817747.94,355687440.98,-2117696546.18,23923078963.06,24134948656.10,24278766404.04,6,42,42,9542,D,GL,2,2.2,2023,3,2023,2,05,31
2023-05-31,51817357,51817403,Net Activity, Guaranteed Loan Financing (See Schedule E),7505482052.46,26480846696.35,172556802750.94,45427028369.49,64402393013.38,71907875065.84,6,43,43,9550,D,GL,2,2.3,2023,3,2023,2,05,31
2023-05-31,51817357,51817405,Net Activity, Direct Loan Financing (See Schedule E),1140405338.13,-28597505591.26,137180063268.64,1338931250421.97,1309193339492.58,1310333744830.71,6,44,44,9555,D,GL,2,2.4,2023,3,2023,2,05,31
2023-05-31,51817357,51817407,Miscellaneous Asset Accounts,989629208.00,-1527903701.37,1764524864.17,3167284497.60,649751588.23,1639380796.23,6,45,45,9561,D,GL,2,2.5,2023,3,2023,2,05,31
