Record Date,Parent ID,Classification ID,Classification Description,Current Month Gross Receipts Amount,Current Month Refund Amount,Current Month Net Receipts Amount,Current Fiscal Year to Date Gross Receipts Amount,Current Fiscal Year to Date Refund Amount,Current Fiscal Year to Date Net Receipts Amount,Prior Fiscal Year to Date Gross Receipts Amount,Prior Fiscal Year to Date Refund Amount,Prior Fiscal Year to Date Net Receipts Amount,Table Number,Source Line Number,Print Order Sequence Number,Line Code Number,Data Type Code,Record Type Code,Sequence Level Number,Sequence Number Code,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2024-02-29,53471608,53471629,Total -- Federal Disability Insurance Trust Fund,14194000000.00,null,14194000000.00,70620050103.94,null,70620050103.94,66275955750.65,null,66275955750.65,4,20,20,220,T,RSG,4,3.1.2.5,2024,2,2024,1,02,29
2024-02-29,53471579,53471633,Federal Hospital Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,21,21,221,S,RSG,3,3.1.3,2024,2,2024,1,02,29
2024-02-29,53471633,53471637,Federal Insurance Contributions Act Taxes,26752000000.00,null,26752000000.00,147617000000.00,null,147617000000.00,142246000000.00,null,142246000000.00,4,22,22,222,D,SRS,4,3.1.3.1,2024,2,2024,1,02,29
2024-02-29,53471633,53471641,Self-Employment Contributions Act Taxes,243000000.00,null,243000000.00,4974000000.00,null,4974000000.00,4387000000.00,null,4387000000.00,4,23,23,224,D,SRS,4,3.1.3.2,2024,2,2024,1,02,29
2024-02-29,53471633,53471655,Adjustments Attributable to Prior Years-FICA,null,null,null,1868493878.31,null,1868493878.31,2510402447.47,null,2510402447.47,4,24,24,228,D,SRS,4,3.1.3.3,2024,2,2024,1,02,29
2024-02-29,53471633,53471657,Adjustments Attributable to Prior Years-SECA,null,null,null,2693807236.46,null,2693807236.46,-373808791.79,null,-373808791.79,4,25,25,14362,D,SRS,4,3.1.3.4,2024,2,2024,1,02,29
2024-02-29,53471633,53471660,Total -- Federal Hospital Insurance Trust Fund,26995000000.00,null,26995000000.00,157153301114.77,null,157153301114.77,148769593655.68,null,148769593655.68,4,26,26,229,T,RSG,4,3.1.3.5,2024,2,2024,1,02,29
2024-02-29,53471579,53471662,Railroad Retirement:,null,null,null,null,null,null,null,null,null,4,27,27,230,S,RSG,3,3.1.4,2024,2,2024,1,02,29
2024-02-29,53471662,53471666,Rail Pension and Supplemental Annuity,396251294.44,1437.35,396249857.09,1449403444.52,2433293.86,1446970150.66,1609389045.57,-7863946.21,1617252991.78,4,28,28,235,D,RSG,4,3.1.4.1,2024,2,2024,1,02,29
2024-02-29,53471662,53471669,Social Security Equivalent Account,344797510.43,1234.61,344796275.82,1336565772.00,2591004.78,1333974767.22,1707859575.66,-11114396.48,1718973972.14,4,29,29,240,D,RSG,4,3.1.4.2,2024,2,2024,1,02,29
2024-02-29,53471579,53471672,Total -- Employment and General Retirement,125519048804.87,2671.96,125519046132.91,646347568081.67,5024298.64,646342543783.03,608558046231.80,-18978342.69,608577024574.49,4,30,30,241,T,RSG,3,3.1.5,2024,2,2024,1,02,29
2024-02-29,53471577,53471675,Unemployment Insurance:,null,null,null,null,null,null,null,null,null,4,31,31,250,S,RSG,2,3.2,2024,2,2024,1,02,29
2024-02-29,53471675,53471678,Deposits by States,2414115694.86,null,2414115694.86,10362244732.61,null,10362244732.61,12820741711.65,null,12820741711.65,4,32,32,251,D,RSG,3,3.2.1,2024,2,2024,1,02,29
2024-02-29,53471675,53471680,Federal Unemployment Taxes,665009192.25,2454191.46,662555000.79,3061117247.67,11633877.21,3049483370.46,2859263058.67,33609525.93,2825653532.74,4,33,33,254,D,RSG,3,3.2.2,2024,2,2024,1,02,29
2024-02-29,53471675,53471682,Railroad Unemployment Taxes,1431933.19,null,1431933.19,141277043.42,null,141277043.42,189742131.28,null,189742131.28,4,34,34,255,D,RSG,3,3.2.3,2024,2,2024,1,02,29
2024-02-29,53471675,53471687,Total -- Unemployment Insurance,3080556820.30,2454191.46,3078102628.84,13564639023.70,11633877.21,13553005146.49,15869746901.60,33609525.93,15836137375.67,4,35,35,269,T,RSG,3,3.2.4,2024,2,2024,1,02,29
2024-02-29,53471577,53471690,Other Retirement:,null,null,null,null,null,null,null,null,null,4,36,36,270,S,RSG,2,3.3,2024,2,2024,1,02,29
2024-02-29,53471690,53471693,Federal Employees' Retirement--Employee Share,610695286.14,null,610695286.14,3018634888.94,null,3018634888.94,2653005603.07,null,2653005603.07,4,37,37,279,D,RSG,3,3.3.1,2024,2,2024,1,02,29
2024-02-29,53471690,53471696,Non-Federal Employees Retirement,1720596.45,null,1720596.45,8457353.03,null,8457353.03,8918709.82,null,8918709.82,4,38,38,284,D,RSG,3,3.3.2,2024,2,2024,1,02,29
2024-02-29,53471690,53471700,Total -- Other Retirement,612415882.59,null,612415882.59,3027092241.97,null,3027092241.97,2661924312.89,null,2661924312.89,4,39,39,285,T,RSG,3,3.3.3,2024,2,2024,1,02,29
2024-02-29,53471577,53471702,Total -- Social Insurance and Retirement Receipts,129212021507.76,2456863.42,129209564644.34,662939299347.34,16658175.85,662922641171.49,627089717446.29,14631183.24,627075086263.05,4,40,40,286,T,RSG,2,3.4,2024,2,2024,1,02,29
2024-02-29,null,53471706,Excise Taxes:,null,null,null,null,null,null,null,null,null,4,41,41,300,S,RSG,1,4,2024,2,2024,1,02,29
2024-02-29,53471706,53471708,Miscellaneous Excise Taxes,2280750061.91,647546568.26,1633203493.65,14562733654.08,2363950480.09,12198783173.99,12183668310.28,3133001128.11,9050667182.17,4,42,42,305,D,RSG,2,4.1,2024,2,2024,1,02,29
2024-02-29,53471706,53471711,Airport and Airway Trust Fund,1310929000.00,null,1310929000.00,7084783000.00,null,7084783000.00,9619091357.80,10505216.65,9608586141.15,4,43,43,308,D,RSG,2,4.2,2024,2,2024,1,02,29
2024-02-29,53471706,53471713,Highway Trust Fund,3732888410.58,31141000.00,3701747410.58,15944000391.23,135354000.00,15808646391.23,13754798306.51,135943000.00,13618855306.51,4,44,44,310,D,RSG,2,4.3,2024,2,2024,1,02,29
2024-02-29,53471706,53471717,Black Lung Disability Trust Fund,28978000.00,null,28978000.00,114453000.00,null,114453000.00,95517662.00,null,95517662.00,4,45,45,313,D,RSG,2,4.4,2024,2,2024,1,02,29
2024-02-29,53471706,53471721,Total -- Excise Taxes,7353545472.49,678687568.26,6674857904.23,37705970045.31,2499304480.09,35206665565.22,35653075636.59,3279449344.76,32373626291.83,4,46,46,314,T,RSG,2,4.5,2024,2,2024,1,02,29
2024-02-29,null,53471726,Estate and Gift Taxes,1769560947.04,220047508.79,1549513438.25,13611338370.09,552865566.55,13058472803.54,19598560415.40,819622695.06,18778937720.34,4,47,47,350,D,RSG,1,5,2024,2,2024,1,02,29
2024-02-29,null,53471729,Customs Duties,6751690073.97,543301843.42,6208388230.55,34142922493.54,2514511748.81,31628410744.73,38152829831.91,3078971213.38,35073858618.53,4,48,48,405,D,RSG,1,6,2024,2,2024,1,02,29
2024-02-29,null,53471732,Miscellaneous Receipts:,null,null,null,null,null,null,null,null,null,4,49,49,800,S,RSG,1,7,2024,2,2024,1,02,29
2024-02-29,53471732,53471735,Deposit of Earnings, Federal Reserve System,null,null,null,664584944.03,null,664584944.03,507769961.29,null,507769961.29,4,50,50,805,D,RSG,2,7.1,2024,2,2024,1,02,29
2024-02-29,53471732,53471738,Universal Service Fund,710814246.70,null,710814246.70,3464516607.01,null,3464516607.01,3241330442.12,null,3241330442.12,4,51,51,807,D,RSG,2,7.2,2024,2,2024,1,02,29
2024-02-29,53471732,53471741,All Other,1002212642.03,1371320.12,1000841321.91,6145461011.45,8501800.88,6136959210.57,10537947516.58,4019403.61,10533928112.97,4,52,52,810,D,RSG,2,7.3,2024,2,2024,1,02,29
2024-02-29,53471732,53471745,Total -- Miscellaneous Receipts,1713026888.73,1371320.12,1711655568.61,10274562562.49,8501800.88,10266060761.61,14287047919.99,4019403.61,14283028516.38,4,53,53,820,T,RSG,2,7.4,2024,2,2024,1,02,29
2024-02-29,null,53471748,Total -- Receipts,334543177630.51,63417108871.42,271126068759.09,1984804911964.99,128784956481.71,1856019955483.28,1877804514669.58,142849026710.40,1734955487959.18,4,54,54,830,T,SL,1,8,2024,2,2024,1,02,29
2024-02-29,53471748,53471762,Total -- On-Budget,236760177630.51,63417108871.42,173343068759.09,1498396614214.61,128784956481.71,1369611657732.90,1421333310714.69,142849026710.40,1278484284004.29,4,55,55,840,T,SL,2,8.1,2024,2,2024,1,02,29
2024-02-29,53471748,53471781,Total -- Off-Budget,97783000000.00,null,97783000000.00,486408297750.38,null,486408297750.38,456471203954.89,null,456471203954.89,4,56,56,850,T,SL,2,8.2,2024,2,2024,1,02,29
2024-01-31,null,53293841,Individual Income Taxes,null,null,null,null,null,null,null,null,null,4,1,1,100,D,RSG,1,1,2024,2,2024,1,01,31
2024-01-31,53293841,53293842,Withheld,162493272067.59,null,null,610033064197.35,null,null,615995412744.81,null,null,4,2,2,102,D,SRS,2,1.1,2024,2,2024,1,01,31
2024-01-31,53293841,53293843,Presidential Election Campaign Fund,62553.00,null,null,1751262.00,null,null,2811031.00,null,null,4,3,3,105,D,SRS,2,1.2,2024,2,2024,1,01,31
2024-01-31,53293841,53293844,Other,122155852313.78,null,null,245281706162.17,null,null,218509157111.02,null,null,4,4,4,110,D,SRS,2,1.3,2024,2,2024,1,01,31
2024-01-31,53293841,53293845,Total -- Individual Income Taxes,284649186934.37,2069781954.48,282579404979.89,855316521621.52,47728114416.54,807588407204.98,834507380886.83,67628899964.06,766878480922.77,4,5,5,120,T,RSG,2,1.4,2024,2,2024,1,01,31
2024-01-31,null,53293846,Corporation Income Taxes,23593952886.69,3951101420.29,19642851466.40,183070964784.18,13493756525.58,169577208258.60,137534572443.75,11315941313.05,126218631130.70,4,6,6,130,D,RSG,1,2,2024,2,2024,1,01,31
2024-01-31,null,53293847,Social Insurance and Retirement Receipts:,null,null,null,null,null,null,null,null,null,4,7,7,140,S,RSG,1,3,2024,2,2024,1,01,31
2024-01-31,53293847,53293848,Employment and General Retirement:,null,null,null,null,null,null,null,null,null,4,8,8,150,S,RSG,2,3.1,2024,2,2024,1,01,31
2024-01-31,53293848,53293849,Federal Old-Age and Survivors Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,9,9,160,S,RSG,3,3.1.1,2024,2,2024,1,01,31
2024-01-31,53293849,53293850,Federal Insurance Contributions Act Taxes,90926000000.00,null,90926000000.00,314787000000.00,null,314787000000.00,292416000000.00,null,292416000000.00,4,10,10,200,D,SRS,4,3.1.1.1,2024,2,2024,1,01,31
2024-01-31,53293849,53293851,Self-Employment Contributions Act Taxes,9089000000.00,null,9089000000.00,10258000000.00,null,10258000000.00,9275000000.00,null,9275000000.00,4,11,11,204,D,SRS,4,3.1.1.2,2024,2,2024,1,01,31
2024-01-31,53293849,53293853,Adjustments Attributable to Prior Years-FICA,null,null,null,4314578077.79,null,4314578077.79,10188087682.50,null,10188087682.50,4,12,12,209,D,SRS,4,3.1.1.3,2024,2,2024,1,01,31
2024-01-31,53293849,53293854,Adjustments Attrbutable to Prior Years-SECA,null,null,null,2839669568.65,null,2839669568.65,-1947839478.26,null,-1947839478.26,4,13,13,14360,D,SRS,4,3.1.1.4,2024,2,2024,1,01,31
2024-01-31,53293849,53293855,Total -- Federal Old-Age and Survivors Insurance Trust Fund,100015000000.00,null,100015000000.00,332199247646.44,null,332199247646.44,309931248204.24,null,309931248204.24,4,14,14,210,T,RSG,4,3.1.1.5,2024,2,2024,1,01,31
2024-01-31,53293848,53293856,Federal Disability Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,15,15,211,S,RSG,3,3.1.2,2024,2,2024,1,01,31
2024-01-31,53293856,53293857,Federal Insurance Contributions Act Taxes,15441000000.00,null,15441000000.00,53455000000.00,null,53455000000.00,49656000000.00,null,49656000000.00,4,16,16,212,D,SRS,4,3.1.2.1,2024,2,2024,1,01,31
2024-01-31,53293856,53293864,Self-Employment Contributions Act Taxes,1543000000.00,null,1543000000.00,1742000000.00,null,1742000000.00,1575000000.00,null,1575000000.00,4,17,17,214,D,SRS,4,3.1.2.2,2024,2,2024,1,01,31
2024-01-31,53293856,53293873,Adjustments Attributable to Prior Years-FICA,null,null,null,737680833.41,null,737680833.41,1726709803.73,null,1726709803.73,4,18,18,219,D,SRS,4,3.1.2.3,2024,2,2024,1,01,31
2024-01-31,53293856,53293875,Adjustments Attributable to Prior Years-SECA,null,null,null,491369270.53,null,491369270.53,-311754053.08,null,-311754053.08,4,19,19,14361,D,SRS,4,3.1.2.4,2024,2,2024,1,01,31
2024-01-31,53293856,53293878,Total -- Federal Disability Insurance Trust Fund,16984000000.00,null,16984000000.00,56426050103.94,null,56426050103.94,52645955750.65,null,52645955750.65,4,20,20,220,T,RSG,4,3.1.2.5,2024,2,2024,1,01,31
2024-01-31,53293848,53293899,Federal Hospital Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,21,21,221,S,RSG,3,3.1.3,2024,2,2024,1,01,31
2024-01-31,53293899,53293909,Federal Insurance Contributions Act Taxes,30308000000.00,null,30308000000.00,120865000000.00,null,120865000000.00,117369000000.00,null,117369000000.00,4,22,22,222,D,SRS,4,3.1.3.1,2024,2,2024,1,01,31
2024-01-31,53293899,53293914,Self-Employment Contributions Act Taxes,4145000000.00,null,4145000000.00,4731000000.00,null,4731000000.00,4184000000.00,null,4184000000.00,4,23,23,224,D,SRS,4,3.1.3.2,2024,2,2024,1,01,31
2024-01-31,53293899,53293921,Adjustments Attributable to Prior Years-FICA,null,null,null,1868493878.31,null,1868493878.31,2510402447.47,null,2510402447.47,4,24,24,228,D,SRS,4,3.1.3.3,2024,2,2024,1,01,31
2024-01-31,53293899,53293925,Adjustments Attributable to Prior Years-SECA,null,null,null,2693807236.46,null,2693807236.46,-373808791.79,null,-373808791.79,4,25,25,14362,D,SRS,4,3.1.3.4,2024,2,2024,1,01,31
2024-01-31,53293899,53293930,Total -- Federal Hospital Insurance Trust Fund,34453000000.00,null,34453000000.00,130158301114.77,null,130158301114.77,123689593655.68,null,123689593655.68,4,26,26,229,T,RSG,4,3.1.3.5,2024,2,2024,1,01,31
2024-01-31,53293848,53293933,Railroad Retirement:,null,null,null,null,null,null,null,null,null,4,27,27,230,S,RSG,3,3.1.4,2024,2,2024,1,01,31
2024-01-31,53293933,53293937,Rail Pension and Supplemental Annuity,327042252.58,334.34,327041918.24,1053152150.08,2431856.51,1050720293.57,1172181821.65,-5833555.38,1178015377.03,4,28,28,235,D,RSG,4,3.1.4.1,2024,2,2024,1,01,31
2024-01-31,53293933,53293941,Social Security Equivalent Account,228730011.66,287.17,228729724.49,991768261.57,2589770.17,989178491.40,1444803492.92,-9370125.05,1454173617.97,4,29,29,240,D,RSG,4,3.1.4.2,2024,2,2024,1,01,31
2024-01-31,53293848,53293944,Total -- Employment and General Retirement,152007772264.24,621.51,152007771642.73,520828519276.80,5021626.68,520823497650.12,488883782925.14,-15203680.43,488898986605.57,4,30,30,241,T,RSG,3,3.1.5,2024,2,2024,1,01,31
2024-01-31,53293847,53293947,Unemployment Insurance:,null,null,null,null,null,null,null,null,null,4,31,31,250,S,RSG,2,3.2,2024,2,2024,1,01,31
2024-01-31,53293947,53293950,Deposits by States,2172877941.86,null,2172877941.86,7948129037.75,null,7948129037.75,10339156234.70,null,10339156234.70,4,32,32,251,D,RSG,3,3.2.1,2024,2,2024,1,01,31
2024-01-31,53293947,53293952,Federal Unemployment Taxes,1696850839.45,6941952.04,1689908887.41,2396108055.42,9179685.75,2386928369.67,2753679892.36,25717569.13,2727962323.23,4,33,33,254,D,RSG,3,3.2.2,2024,2,2024,1,01,31
2024-01-31,53293947,53293955,Railroad Unemployment Taxes,69183292.71,null,69183292.71,139845110.23,null,139845110.23,178022728.85,null,178022728.85,4,34,34,255,D,RSG,3,3.2.3,2024,2,2024,1,01,31
2024-01-31,53293947,53293961,Total -- Unemployment Insurance,3938912074.02,6941952.04,3931970121.98,10484082203.40,9179685.75,10474902517.65,13270858855.91,25717569.13,13245141286.78,4,35,35,269,T,RSG,3,3.2.4,2024,2,2024,1,01,31
2024-01-31,53293847,53293963,Other Retirement:,null,null,null,null,null,null,null,null,null,4,36,36,270,S,RSG,2,3.3,2024,2,2024,1,01,31
2024-01-31,53293963,53293965,Federal Employees' Retirement--Employee Share,580191322.91,null,580191322.91,2407939602.80,null,2407939602.80,2114933026.61,null,2114933026.61,4,37,37,279,D,RSG,3,3.3.1,2024,2,2024,1,01,31
2024-01-31,53293963,53293968,Non-Federal Employees Retirement,3270838.97,null,3270838.97,6736756.58,null,6736756.58,6645838.87,null,6645838.87,4,38,38,284,D,RSG,3,3.3.2,2024,2,2024,1,01,31
2024-01-31,53293963,53293971,Total -- Other Retirement,583462161.88,null,583462161.88,2414676359.38,null,2414676359.38,2121578865.48,null,2121578865.48,4,39,39,285,T,RSG,3,3.3.3,2024,2,2024,1,01,31
2024-01-31,53293847,53293974,Total -- Social Insurance and Retirement Receipts,156530146500.14,6942573.55,156523203926.59,533727277839.58,14201312.43,533713076527.15,504276220646.53,10513888.70,504265706757.83,4,40,40,286,T,RSG,2,3.4,2024,2,2024,1,01,31
2024-01-31,null,53293977,Excise Taxes:,null,null,null,null,null,null,null,null,null,4,41,41,300,S,RSG,1,4,2024,2,2024,1,01,31
2024-01-31,53293977,53293980,Miscellaneous Excise Taxes,2015686558.64,462271590.10,1553414968.54,12281983592.17,1716403911.83,10565579680.34,11937759124.08,2907084074.82,9030675049.26,4,42,42,305,D,RSG,2,4.1,2024,2,2024,1,01,31
2024-01-31,53293977,53293983,Airport and Airway Trust Fund,1650557000.00,null,1650557000.00,5773854000.00,null,5773854000.00,6996485629.36,null,6996485629.36,4,43,43,308,D,RSG,2,4.2,2024,2,2024,1,01,31
2024-01-31,53293977,53293986,Highway Trust Fund,3408408328.50,30347000.00,3378061328.50,12211111980.65,104213000.00,12106898980.65,10127348773.23,104661000.00,10022687773.23,4,44,44,310,D,RSG,2,4.3,2024,2,2024,1,01,31
2024-01-31,53293977,53293990,Black Lung Disability Trust Fund,24004000.00,null,24004000.00,85475000.00,null,85475000.00,65353875.00,null,65353875.00,4,45,45,313,D,RSG,2,4.4,2024,2,2024,1,01,31
2024-01-31,53293977,53293993,Total -- Excise Taxes,7098655887.14,492618590.10,6606037297.04,30352424572.82,1820616911.83,28531807660.99,29126947401.67,3011745074.82,26115202326.85,4,46,46,314,T,RSG,2,4.5,2024,2,2024,1,01,31
2024-01-31,null,53293996,Estate and Gift Taxes,3123482169.09,50357160.65,3073125008.44,11841777423.05,332818057.76,11508959365.29,9744026395.40,610625499.50,9133400895.90,4,47,47,350,D,RSG,1,5,2024,2,2024,1,01,31
2024-01-31,null,53293998,Customs Duties,6987471629.25,510845653.13,6476625976.12,27391232419.57,1971209905.39,25420022514.18,31358424398.19,2633628196.41,28724796201.78,4,48,48,405,D,RSG,1,6,2024,2,2024,1,01,31
2024-01-31,null,53294001,Miscellaneous Receipts:,null,null,null,null,null,null,null,null,null,4,49,49,800,S,RSG,1,7,2024,2,2024,1,01,31
2024-01-31,53294001,53294004,Deposit of Earnings, Federal Reserve System,121430329.60,null,121430329.60,664584944.03,null,664584944.03,468054506.16,null,468054506.16,4,50,50,805,D,RSG,2,7.1,2024,2,2024,1,01,31
2024-01-31,53294001,53294007,Universal Service Fund,697687073.15,null,697687073.15,2753702360.31,null,2753702360.31,2706506047.28,null,2706506047.28,4,51,51,807,D,RSG,2,7.2,2024,2,2024,1,01,31
2024-01-31,53294001,53294010,All Other,1600426188.33,1136788.40,1599289399.93,5143248369.42,7130480.76,5136117888.66,8333600516.23,2800842.20,8330799674.03,4,52,52,810,D,RSG,2,7.3,2024,2,2024,1,01,31
2024-01-31,53294001,53294013,Total -- Miscellaneous Receipts,2419543591.08,1136788.40,2418406802.68,8561535673.76,7130480.76,8554405193.00,11508161069.67,2800842.20,11505360227.47,4,53,53,820,T,RSG,2,7.4,2024,2,2024,1,01,31
2024-01-31,null,53294016,Total -- Receipts,484402439597.76,7082784140.60,477319655457.16,1650261734334.48,65367847610.29,1584893886724.19,1558055733242.04,85214154778.74,1472841578463.30,4,54,54,830,T,SL,1,8,2024,2,2024,1,01,31
2024-01-31,53294016,53294036,Total -- On-Budget,367403439597.76,7082784140.60,360320655457.16,1261636436584.10,65367847610.29,1196268588973.81,1195478529287.15,85214154778.74,1110264374508.41,4,55,55,840,T,SL,2,8.1,2024,2,2024,1,01,31
2024-01-31,53294016,53294038,Total -- Off-Budget,116999000000.00,null,116999000000.00,388625297750.38,null,388625297750.38,362577203954.89,null,362577203954.89,4,56,56,850,T,SL,2,8.2,2024,2,2024,1,01,31
2023-12-31,null,53158512,Individual Income Taxes,null,null,null,null,null,null,null,null,null,4,1,1,100,D,RSG,1,1,2024,1,2023,4,12,31
2023-12-31,53158512,53158513,Withheld,166633984393.26,null,null,447539792129.76,null,null,464139586076.10,null,null,4,2,2,102,D,SRS,2,1.1,2024,1,2023,4,12,31
2023-12-31,53158512,53158514,Presidential Election Campaign Fund,67818.00,null,null,1688709.00,null,null,2742343.00,null,null,4,3,3,105,D,SRS,2,1.2,2024,1,2023,4,12,31
2023-12-31,53158512,53158515,Other,17012990409.56,null,null,123125853848.39,null,null,90967461072.21,null,null,4,4,4,110,D,SRS,2,1.3,2024,1,2023,4,12,31
2023-12-31,53158512,53158516,Total -- Individual Income Taxes,183647042620.82,5439136433.63,178207906187.19,570667334687.15,45658332462.06,525009002225.09,555109789491.31,50521256852.01,504588532639.30,4,5,5,120,T,RSG,2,1.4,2024,1,2023,4,12,31
2023-12-31,null,53158517,Corporation Income Taxes,96233477950.76,2308343661.16,93925134289.60,159477011897.49,9542655105.29,149934356792.20,116840707013.25,11450011818.41,105390695194.84,4,6,6,130,D,RSG,1,2,2024,1,2023,4,12,31
2023-12-31,null,53158523,Social Insurance and Retirement Receipts:,null,null,null,null,null,null,null,null,null,4,7,7,140,S,RSG,1,3,2024,1,2023,4,12,31
2023-12-31,53158523,53158524,Employment and General Retirement:,null,null,null,null,null,null,null,null,null,4,8,8,150,S,RSG,2,3.1,2024,1,2023,4,12,31
2023-12-31,53158524,53158535,Federal Old-Age and Survivors Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,9,9,160,S,RSG,3,3.1.1,2024,1,2023,4,12,31
2023-12-31,53158535,53158542,Federal Insurance Contributions Act Taxes,79550000000.00,null,79550000000.00,223861000000.00,null,223861000000.00,208071000000.00,null,208071000000.00,4,10,10,200,D,SRS,4,3.1.1.1,2024,1,2023,4,12,31
2023-12-31,53158535,53158546,Self-Employment Contributions Act Taxes,650000000.00,null,650000000.00,1169000000.00,null,1169000000.00,1076000000.00,null,1076000000.00,4,11,11,204,D,SRS,4,3.1.1.2,2024,1,2023,4,12,31
2023-12-31,53158535,53158550,Adjustments Attributable to Prior Years-FICA,4314578077.79,null,4314578077.79,4314578077.79,null,4314578077.79,10188087682.50,null,10188087682.50,4,12,12,209,D,SRS,4,3.1.1.3,2024,1,2023,4,12,31
2023-12-31,53158535,53158552,Adjustments Attrbutable to Prior Years-SECA,2839669568.65,null,2839669568.65,2839669568.65,null,2839669568.65,-1947839478.26,null,-1947839478.26,4,13,13,14360,D,SRS,4,3.1.1.4,2024,1,2023,4,12,31
2023-12-31,53158535,53158554,Total -- Federal Old-Age and Survivors Insurance Trust Fund,87354247646.44,null,87354247646.44,232184247646.44,null,232184247646.44,217387248204.24,null,217387248204.24,4,14,14,210,T,RSG,4,3.1.1.5,2024,1,2023,4,12,31
2023-12-31,53158524,53158556,Federal Disability Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,15,15,211,S,RSG,3,3.1.2,2024,1,2023,4,12,31
2023-12-31,53158556,53158557,Federal Insurance Contributions Act Taxes,13509000000.00,null,13509000000.00,38014000000.00,null,38014000000.00,35333000000.00,null,35333000000.00,4,16,16,212,D,SRS,4,3.1.2.1,2024,1,2023,4,12,31
2023-12-31,53158556,53158559,Self-Employment Contributions Act Taxes,111000000.00,null,111000000.00,199000000.00,null,199000000.00,183000000.00,null,183000000.00,4,17,17,214,D,SRS,4,3.1.2.2,2024,1,2023,4,12,31
2023-12-31,53158556,53158561,Adjustments Attributable to Prior Years-FICA,737680833.41,null,737680833.41,737680833.41,null,737680833.41,1726709803.73,null,1726709803.73,4,18,18,219,D,SRS,4,3.1.2.3,2024,1,2023,4,12,31
2023-12-31,53158556,53158562,Adjustments Attributable to Prior Years-SECA,491369270.53,null,491369270.53,491369270.53,null,491369270.53,-311754053.08,null,-311754053.08,4,19,19,14361,D,SRS,4,3.1.2.4,2024,1,2023,4,12,31
2023-12-31,53158556,53158564,Total -- Federal Disability Insurance Trust Fund,14849050103.94,null,14849050103.94,39442050103.94,null,39442050103.94,36930955750.65,null,36930955750.65,4,20,20,220,T,RSG,4,3.1.2.5,2024,1,2023,4,12,31
2023-12-31,53158524,53158566,Federal Hospital Insurance Trust Fund:,null,null,null,null,null,null,null,null,null,4,21,21,221,S,RSG,3,3.1.3,2024,1,2023,4,12,31
2023-12-31,53158566,53158570,Federal Insurance Contributions Act Taxes,32373000000.00,null,32373000000.00,90557000000.00,null,90557000000.00,88471000000.00,null,88471000000.00,4,22,22,222,D,SRS,4,3.1.3.1,2024,1,2023,4,12,31
2023-12-31,53158566,53158573,Self-Employment Contributions Act Taxes,345000000.00,null,345000000.00,586000000.00,null,586000000.00,517000000.00,null,517000000.00,4,23,23,224,D,SRS,4,3.1.3.2,2024,1,2023,4,12,31
2023-12-31,53158566,53158581,Adjustments Attributable to Prior Years-FICA,1868493878.31,null,1868493878.31,1868493878.31,null,1868493878.31,2510402447.47,null,2510402447.47,4,24,24,228,D,SRS,4,3.1.3.3,2024,1,2023,4,12,31
2023-12-31,53158566,53158585,Adjustments Attributable to Prior Years-SECA,2693807236.46,null,2693807236.46,2693807236.46,null,2693807236.46,-373808791.79,null,-373808791.79,4,25,25,14362,D,SRS,4,3.1.3.4,2024,1,2023,4,12,31
2023-12-31,53158566,53158588,Total -- Federal Hospital Insurance Trust Fund,37280301114.77,null,37280301114.77,95705301114.77,null,95705301114.77,91124593655.68,null,91124593655.68,4,26,26,229,T,RSG,4,3.1.3.5,2024,1,2023,4,12,31
2023-12-31,53158524,53158591,Railroad Retirement:,null,null,null,null,null,null,null,null,null,4,27,27,230,S,RSG,3,3.1.4,2024,1,2023,4,12,31
2023-12-31,53158591,53158594,Rail Pension and Supplemental Annuity,226628614.01,2339649.47,224288964.54,726109897.50,2431522.17,723678375.33,682296383.84,-5770217.17,688066601.01,4,28,28,235,D,RSG,4,3.1.4.1,2024,1,2023,4,12,31
2023-12-31,53158591,53158597,Social Security Equivalent Account,276385609.73,2491641.89,273893967.84,763038249.91,2589483.00,760448766.91,1075247638.07,-9315712.35,1084563350.42,4,29,29,240,D,RSG,4,3.1.4.2,2024,1,2023,4,12,31
2023-12-31,53158524,53158601,Total -- Employment and General Retirement,139986613088.89,4831291.36,139981781797.53,368820747012.56,5021005.17,368815726007.39,347200341632.48,-15085929.52,347215427562.00,4,30,30,241,T,RSG,3,3.1.5,2024,1,2023,4,12,31
2023-12-31,53158523,53158603,Unemployment Insurance:,null,null,null,null,null,null,null,null,null,4,31,31,250,S,RSG,2,3.2,2024,1,2023,4,12,31
2023-12-31,53158603,53158606,Deposits by States,326311489.34,null,326311489.34,5775251095.89,null,5775251095.89,6341703817.08,null,6341703817.08,4,32,32,251,D,RSG,3,3.2.1,2024,1,2023,4,12,31
